spike_timestep,spike_class,amplitude,firing_rate
2077.0,0,4,1
3852.0,0,4,1
4140.0,0,4,1
5545.0,0,4,1
6773.0,0,4,1
7310.0,0,4,1
7592.0,0,4,1
11467.0,0,4,1
12106.0,0,4,1
12189.0,0,4,1
13031.0,0,4,1
13193.0,0,4,1
13763.0,0,4,1
14539.0,0,4,1
18122.0,0,4,1
18733.0,0,4,1
22567.0,1,4,1
23512.0,0,4,1
25234.0,0,4,1
26386.0,2,4,1
26850.0,0,4,1
27186.0,0,4,1
27324.0,0,4,1
27468.0,0,4,1
27554.0,0,4,1
27644.0,0,4,1
27808.0,0,4,1
27935.0,0,4,1
28663.0,0,4,1
29327.0,0,4,1
29439.0,0,4,1
29879.0,0,4,1
30872.0,0,4,1
31055.0,0,4,1
31829.0,0,4,1
31915.0,0,4,1
33566.0,0,4,1
34249.0,0,4,1
35685.0,0,4,1
37356.0,1,4,1
37487.0,0,4,1
38956.0,0,4,1
39994.0,0,4,1
41130.0,0,4,1
43069.0,0,4,1
43411.0,0,4,1
43865.0,0,4,1
44663.0,0,4,1
44950.0,0,4,1
45871.0,0,4,1
46285.0,0,4,1
46988.0,0,4,1
47638.0,0,4,1
50724.0,0,4,1
51933.0,0,4,1
53114.0,0,4,1
54662.0,0,4,1
56639.0,0,4,1
57313.0,0,4,1
57399.0,0,4,1
57847.0,0,4,1
58017.0,2,4,1
58599.0,0,4,1
58866.0,0,4,1
59178.0,0,4,1
60231.0,1,4,1
60599.0,0,4,1
64001.0,0,4,1
64902.0,0,4,1
65905.0,0,4,1
67850.0,1,4,1
69208.0,0,4,1
69673.0,0,4,1
69758.0,0,4,1
70131.0,0,4,1
70676.0,0,4,1
73090.0,0,4,1
73482.0,0,4,1
75015.0,0,4,1
76169.0,0,4,1
77089.0,0,4,1
79936.0,2,4,1
80501.0,0,4,1
80786.0,0,4,1
83887.0,0,4,1
86082.0,0,4,1
86760.0,0,4,1
87453.0,0,4,1
88102.0,0,4,1
90341.0,0,4,1
90831.0,0,4,1
91561.0,0,4,1
91828.0,0,4,1
92076.0,0,4,1
93480.0,0,4,1
94386.0,0,4,1
95086.0,0,4,1
95301.0,0,4,1
95522.0,0,4,1
96740.0,0,4,1
98972.0,0,4,1
99882.0,0,4,1
100428.0,1,4,1
104225.0,0,4,1
104725.0,0,4,1
104913.0,0,4,1
105662.0,0,4,1
106422.0,0,4,1
106787.0,0,4,1
107015.0,0,4,1
107738.0,0,4,1
109271.0,0,4,1
110301.0,0,4,1
110948.0,0,4,1
112547.0,0,4,1
113778.0,0,4,1
114219.0,1,4,1
115115.0,0,4,1
115754.0,0,4,1
115874.0,0,4,1
122376.0,0,4,1
123625.0,2,4,1
124421.0,0,4,1
126159.0,0,4,1
129617.0,0,4,1
130695.0,0,4,1
132382.0,0,4,1
135637.0,0,4,1
136091.0,0,4,1
136586.0,0,4,1
136916.0,0,4,1
139752.0,0,4,1
141312.0,0,4,1
141445.0,0,4,1
142558.0,0,4,1
143062.0,0,4,1
143791.0,1,4,1
144015.0,2,4,1
144330.0,0,4,1
144566.0,0,4,1
144993.0,0,4,1
145317.0,0,4,1
146470.0,0,4,1
147135.0,0,4,1
148140.0,0,4,1
148924.0,0,4,1
149053.0,0,4,1
150942.0,0,4,1
152448.0,0,4,1
153251.0,0,4,1
154084.0,0,4,1
155035.0,0,4,1
155197.0,0,4,1
155912.0,0,4,1
157330.0,0,4,1
160318.0,0,4,1
160845.0,0,4,1
162477.0,0,4,1
162655.0,0,4,1
165382.0,0,4,1
166540.0,0,4,1
166660.0,0,4,1
166903.0,0,4,1
168537.0,0,4,1
171450.0,0,4,1
174099.0,0,4,1
174421.0,0,4,1
175645.0,0,4,1
176529.0,0,4,1
176834.0,0,4,1
177574.0,0,4,1
178271.0,0,4,1
178648.0,0,4,1
179293.0,0,4,1
180325.0,0,4,1
181917.0,0,4,1
183106.0,0,4,1
183312.0,0,4,1
184332.0,0,4,1
185495.0,0,4,1
186432.0,0,4,1
186738.0,0,4,1
189331.0,0,4,1
190132.0,0,4,1
191364.0,0,4,1
192106.0,0,4,1
195368.0,0,4,1
196325.0,0,4,1
196513.0,0,4,1
196719.0,0,4,1
197808.0,0,4,1
199026.0,0,4,1
199673.0,2,4,1
201139.0,0,4,1
202486.0,0,4,1
206367.0,2,4,1
207005.0,0,4,1
209958.0,0,4,1
210722.0,0,4,1
211870.0,0,4,1
213794.0,0,4,1
216131.0,0,4,1
216865.0,2,4,1
217188.0,0,4,1
217783.0,1,4,1
218890.0,0,4,1
220206.0,0,4,1
221122.0,0,4,1
223458.0,0,4,1
225407.0,0,4,1
226245.0,0,4,1
227161.0,0,4,1
227252.0,0,4,1
227397.0,0,4,1
228813.0,0,4,1
231812.0,0,4,1
232216.0,0,4,1
233029.0,2,4,1
233151.0,0,4,1
234272.0,0,4,1
234590.0,0,4,1
236230.0,0,4,1
237899.0,0,4,1
238604.0,0,4,1
240054.0,0,4,1
243478.0,0,4,1
244377.0,0,4,1
244731.0,0,4,1
244826.0,0,4,1
248761.0,0,4,1
249386.0,0,4,1
249714.0,0,4,1
250298.0,0,4,1
252239.0,2,4,1
253422.0,0,4,1
254049.0,0,4,1
254848.0,0,4,1
260559.0,0,4,1
260773.0,0,4,1
268121.0,0,4,1
270414.0,0,4,1
271380.0,0,4,1
274441.0,1,4,1
275045.0,0,4,1
275417.0,0,4,1
279016.0,0,4,1
280112.0,0,4,1
280778.0,0,4,1
281094.0,0,4,1
281243.0,2,4,1
281778.0,0,4,1
286561.0,0,4,1
288345.0,1,4,1
288907.0,0,4,1
289047.0,1,4,1
289237.0,0,4,1
289403.0,0,4,1
290130.0,0,4,1
290955.0,0,4,1
291606.0,2,4,1
291942.0,0,4,1
292955.0,0,4,1
294768.0,0,4,1
297784.0,0,4,1
298186.0,0,4,1
298377.0,0,4,1
298931.0,0,4,1
305240.0,0,4,1
305408.0,0,4,1
305785.0,0,4,1
307098.0,0,4,1
307524.0,0,4,1
307789.0,0,4,1
308710.0,0,4,1
310024.0,0,4,1
310857.0,0,4,1
311745.0,2,4,1
315072.0,0,4,1
315979.0,0,4,1
319373.0,0,4,1
321250.0,0,4,1
321743.0,0,4,1
322574.0,0,4,1
323163.0,0,4,1
323872.0,0,4,1
324016.0,0,4,1
324188.0,0,4,1
326919.0,0,4,1
328689.0,0,4,1
332020.0,0,4,1
333183.0,0,4,1
333438.0,0,4,1
333671.0,0,4,1
333909.0,0,4,1
335203.0,0,4,1
335698.0,0,4,1
337045.0,0,4,1
339827.0,0,4,1
342852.0,2,4,1
343380.0,0,4,1
344309.0,0,4,1
344633.0,0,4,1
344819.0,0,4,1
347815.0,0,4,1
349394.0,0,4,1
353144.0,0,4,1
354441.0,0,4,1
357252.0,0,4,1
357396.0,0,4,1
358332.0,0,4,1
360301.0,0,4,1
360663.0,0,4,1
361553.0,0,4,1
361672.0,0,4,1
364424.0,0,4,1
365329.0,0,4,1
366030.0,0,4,1
366923.0,0,4,1
367818.0,1,4,1
368498.0,0,4,1
370637.0,0,4,1
373618.0,1,4,1
373723.0,0,4,1
375632.0,0,4,1
377236.0,0,4,1
378459.0,0,4,1
